Ingrediente|Platillos|Categoría|Epoca|Origen|Destino|Estado|Cultura prehispánica|Nota cultural|Cult
QUESO DOBLE CREMA|1|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|Meztiza|Variante muy suave; se funde fácilmente en molletes.|
CHILE CASCABELILLO|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|San Luis Potosí|San Luis Potosí|San Luis Potosí|Mexica|Suena como cascabel; produce salsas con sabor tostado.|
FILETE DE SIERRA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Sinaloa|Sinaloa|Sinaloa|Yaqui|Pescado azul cortado fino, ideal para empanizar o al mojo.|
GUAMUCHIL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Sinaloa|Sinaloa|Sinaloa|Mayo|Árbol espinoso con vaina dulce; se usa como forraje y golosina rural.|
MARISCOS|1|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Sinaloa|Sinaloa|Sinaloa|Yaqui|El Pacífico ofrece mariscos más carnosos; su cocina tiene influencia japonesa.|
CHILE CHILTEPIN|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Sonora|Sonora|Sonora|Seri|El chile más ancestral de América; crece silvestre.|
AGUAYON|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Sonora|Sonora|Rarámuri|Corte jugoso de res; ideal para asar o preparar en jugo.|
CARNE SECA|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Sonora|Sonora|Sonora|Rarámuri|Se machaca y sala para conservarse sin refrigeración en climas áridos.|
MENUDO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Sonora|Sonora|Sonora|Mestiza|Plato con tripas de res; se sirve en bodas y crudas.|
TORTILLAS DE HARINA|1|Harinas y Masas|Conquista y Virreinato (1521 – 1821)|Sonora|Sonora|Sonora|Mestiza|Nacieron en el norte por escasez de maíz; se expandieron nacionalmente.|
SANDIA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Sudán|Veracruz|Veracruz|Sudán|Llegó con esclavos africanos; fruta de verano muy popular.|
QUESO GRUYERE|1|Lácteos y Huevos|Influencia europea / Porfiriato (1821 - 1910)|Suiza|CDMX|CDMX|Suiza|Su nombre está protegido por denominación; se usa en fondue y empanadas.|
ACUYO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tabasco|Tabasco|Tabasco|Maya|Hoja aromática que también se usaba para envolver cuerpos en entierros.|
CHACAL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tabasco|Tabasco|Tabasco|Maya|Camarón de río; se cocina con hojas de momo y chile.|
HOJA DE CHAYA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tabasco|Tabasco|Tabasco|Maya|Cruda es tóxica; hervida es tan nutritiva como la espinaca.|
MAIZ AZUL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tlaxcala|Tlaxcala|Tlaxcala|Mexica|Su pigmento contiene antocianinas; se usaba en rituales de fertilidad.|
RANA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tlaxcala|Tlaxcala|Tlaxcala|Mexica|Su carne era considerada afrodisíaca; se freía con ajo.|
CLEMOLE CASTELLANO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Tlaxcala|Tlaxcala|Tlaxcala|Mestiza|Guiso de carne y fruta; mezcla de técnicas indígenas y españolas.|
CHORIZO VERDE|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Toluca|Toluca|Meztiza|Hecho con chile, epazote y perejil; color único entre embutidos.|
YOGURT|1|Lácteos y Huevos|México Contemporáneo (1940 - Actualidad)|Turquía|CDMX|CDMX|Turquía|En los 80s se volvió un ícono de alimentación saludable en México.|
HIGO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Turquía|Morelos|Morelos|Turquía|Fruto bíblico que se consume seco o en conserva.|
HIGUERA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Turquía|Puebla|Puebla|Turquía|Árbol sagrado en muchas culturas; se adapta muy bien al clima templado.|
CANGREJO|1|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|En el Golfo se prepara en empanadas y guisos con achiote.|
CHILE AMASHITO|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Es tan pequeño que se usa completo, sin picarlo.|
FRIJOL NEGRO|1|Leguminosas, Semillas y Nueces|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Base de caldos, sopas, refritos y tamales negros.|
GUANABANA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Su nombre viene del taíno, y se consideraba fruta para calmar el corazón.|
HIERBA SANTA|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se usaba como envoltura, medicina y protección espiritual.|
HUACHINANGO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Su nombre significa “pez espinoso” en náhuatl.|
PARGO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Su carne es blanca y firme; se asa entero con hierbas.|
MOLE DE XICO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Veracruz|Veracruz|Veracruz|Mestiza|Muy espeso y oscuro; elaborado artesanalmente en fiestas patronales.|
CHILE DULCE|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Se rellena o se sirve en escabeche; poco picante.|
CHILE XCATIK|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Amarillo, alargado; picoso y aromático.|
CHILMOLE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Base de guisos mayas, con epazote y jitomate.|
RECAUDO BLANCO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Mezcla suave de especias claras y ajo; va en guisos de pollo.|
RECAUDO DE ESPECIA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Mezcla en seco que incluye canela, clavo y pimienta.|
RECAUDO NEGRO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Se elabora con chiles quemados hasta carbonizar; sabor fuerte y terroso.|
